title,company,location,experience,salary,status,note,applied_at,url
Associate Software Engineer,N/A,Bengaluru,0-2 Yrs,N/A,applied,Application submitted,2026-05-01 11:52:53,https://www.naukri.com/job-listings-associate-software-engineer-snaproute-bengaluru-0-to-2-years-300426503698
"Software Dev Engineer I, Amazon University Talent Acquisition",N/A,Bengaluru,0-5 Yrs,N/A,applied,Application submitted,2026-05-01 11:53:21,https://www.naukri.com/job-listings-software-dev-engineer-i-amazon-university-talent-acquisition-amazon-development-centre-india-pvt-ltd-bengaluru-0-to-5-years-300426502392
Unity Game Developer,N/A,Hyderabad,0-2 Yrs,N/A,applied,Application submitted,2026-05-01 11:53:50,https://www.naukri.com/job-listings-unity-game-developer-7seasent-hyderabad-0-to-2-years-020326502487
Software Trainer,N/A,Hyderabad,0-2 Yrs,N/A,applied,Application submitted,2026-05-01 11:54:40,https://www.naukri.com/job-listings-software-trainer-mashupstack-hyderabad-0-to-2-years-230625501255
Staff Software Engineer MLOps,N/A,Bengaluru,0-5 Yrs,N/A,applied,Application submitted,2026-05-01 11:55:12,https://www.naukri.com/job-listings-staff-software-engineer-mlops-toast-bengaluru-0-to-5-years-120226503998
Junior Developer,N/A,Remote,0-1 Yrs,N/A,applied,Application submitted,2026-05-01 11:55:38,https://www.naukri.com/job-listings-junior-developer-cofounderhubs-remote-0-to-1-years-290426505814
Golang developer,N/A,"Bengaluru, Hubli, Mangaluru, Mysuru, Belgaum",0-5 Yrs,N/A,applied,Application submitted,2026-05-01 11:56:05,https://www.naukri.com/job-listings-golang-developer-logicplanet-it-services-hubli-mangaluru-mysuru-bengaluru-belgaum-0-to-5-years-240226505121
Trainee Software Engineer,N/A,Bengaluru,0-1 Yrs,N/A,applied,Application submitted,2026-05-01 11:56:32,https://www.naukri.com/job-listings-trainee-software-engineer-opteamix-bengaluru-0-to-1-years-200326504804
Gaming Developer,N/A,Bengaluru,0-3 Yrs,N/A,applied,Application submitted,2026-05-01 11:57:03,https://www.naukri.com/job-listings-gaming-developer-hunter-tech-ventures-pvt-ltd-bengaluru-0-to-3-years-250624502823
Avionics System Engineer,N/A,Bengaluru,0-3 Yrs,N/A,applied,Application submitted,2026-05-01 11:57:33,https://www.naukri.com/job-listings-avionics-system-engineer-digantara-bengaluru-0-to-3-years-241225504001
Software Developer Intern,N/A,Bengaluru,0-1 Yrs,N/A,applied,Application submitted,2026-05-01 11:58:01,https://www.naukri.com/job-listings-software-developer-intern-outbox-bengaluru-0-to-1-years-200126505685
Junior Software Developer,N/A,Bengaluru,0-2 Yrs,N/A,applied,Application submitted,2026-05-01 11:58:29,https://www.naukri.com/job-listings-junior-software-developer-eyesoncloud-bengaluru-0-to-2-years-090326500008
"Software Dev Engineer I, Amazon University Talent Acquisition",N/A,Bengaluru,0-5 Yrs,N/A,applied,Application submitted,2026-05-01 11:58:56,https://www.naukri.com/job-listings-software-dev-engineer-i-amazon-university-talent-acquisition-amazon-development-centre-india-pvt-ltd-bengaluru-0-to-5-years-031025501184
Software Engineering Intern,N/A,"Hyderabad, Bengaluru",0-3 Yrs,N/A,applied,Application submitted,2026-05-01 11:59:24,https://www.naukri.com/job-listings-software-engineering-intern-google-india-private-limited-hyderabad-bengaluru-0-to-3-years-090725503935
Software Developer Intern,N/A,Chennai,0-5 Yrs,N/A,applied,Application submitted,2026-05-01 12:00:11,https://www.naukri.com/job-listings-software-developer-intern-acsys-technologies-chennai-0-to-5-years-270426501306
Trainee Software Developer,N/A,Indore,0-1 Yrs,N/A,failed,Apply button not found,2026-05-01 12:00:49,https://www.naukri.com/job-listings-trainee-software-developer-cyber-infrastructure-indore-0-to-1-years-270426028679
Associate Software Developer,N/A,Bengaluru(Banashankari Stage III),0-1 Yrs,N/A,applied,Application submitted,2026-05-01 12:01:23,https://www.naukri.com/job-listings-associate-software-developer-conceptia-bengaluru-0-to-1-years-070226004966
Software Engineer,N/A,"Bengaluru, Gurugram",0 Yrs,N/A,applied,Application submitted,2026-05-01 12:01:50,https://www.naukri.com/job-listings-software-engineer-google-india-private-limited-gurugram-bengaluru-0-to-0-years-090725503859
Software Engineer,N/A,Bengaluru,0 Yrs,N/A,applied,Application submitted,2026-05-01 12:02:17,https://www.naukri.com/job-listings-software-engineer-google-india-private-limited-bengaluru-0-to-0-years-090725503856
"Software Dev Engineer I, Amazon University Talent Acquisition",N/A,Bengaluru,0-5 Yrs,N/A,applied,Application submitted,2026-05-01 12:02:46,https://www.naukri.com/job-listings-software-dev-engineer-i-amazon-university-talent-acquisition-amazon-development-centre-india-pvt-ltd-bengaluru-0-to-5-years-080126501157
